"activity_id","activity","nace_code","flag","cepa_crema_class"
76,"R&D for resource management","72.1","v","15"
76,"R&D for resource management","72.2","v","15"
77,"Environmental consulting services","74.90","v","9,16"
78,"Public litter and collection of rubbish from the street","81.29","v","3"
79,"Administration services for environmental protection and resource management purposes","84.1","v","9,16"
80,"Training services in environmental protection and resource management","85.4","v","9,16"
80,"Training services in environmental protection and resource management","85.59","v","9,16"
80,"Training services in environmental protection and resource management","85.6","v","9,16"
81,"Environmental services furnished by membership organisation","94.99","v","1,2,3,4,5,6,7,8,9,10,11A,11B,12,13A,13B,13C,14,15,16"
82,"Nature reserve services including wildlife preservation","91.04","v","6"
