sous_classe,na17_code,na17_libelle
01.64Z,AZ,"Agriculture, sylviculture et pêche"
01.70Z,AZ,"Agriculture, sylviculture et pêche"
02.10Z,AZ,"Agriculture, sylviculture et pêche"
02.20Z,AZ,"Agriculture, sylviculture et pêche"
02.30Z,AZ,"Agriculture, sylviculture et pêche"
02.40Z,AZ,"Agriculture, sylviculture et pêche"
03.11Z,AZ,"Agriculture, sylviculture et pêche"
03.12Z,AZ,"Agriculture, sylviculture et pêche"
03.21Z,AZ,"Agriculture, sylviculture et pêche"
03.22Z,AZ,"Agriculture, sylviculture et pêche"
05.10Z,DE,"Industries extractives,  énergie, eau, gestion des déchets et dépollution"
05.20Z,DE,"Industries extractives,  énergie, eau, gestion des déchets et dépollution"
06.10Z,DE,"Industries extractives,  énergie, eau, gestion des déchets et dépollution"
06.20Z,DE,"Industries extractives,  énergie, eau, gestion des déchets et dépollution"
07.10Z,DE,"Industries extractives,  énergie, eau, gestion des déchets et dépollution"
07.21Z,DE,"Industries extractives,  énergie, eau, gestion des déchets et dépollution"
07.29Z,DE,"Industries extractives,  énergie, eau, gestion des déchets et dépollution"
08.11Z,DE,"Industries extractives,  énergie, eau, gestion des déchets et dépollution"
08.12Z,DE,"Industries extractives,  énergie, eau, gestion des déchets et dépollution"
08.91Z,DE,"Industries extractives,  énergie, eau, gestion des déchets et dépollution"
08.92Z,DE,"Industries extractives,  énergie, eau, gestion des déchets et dépollution"
08.93Z,DE,"Industries extractives,  énergie, eau, gestion des déchets et dépollution"
08.99Z,DE,"Industries extractives,  énergie, eau, gestion des déchets et dépollution"
09.10Z,DE,"Industries extractives,  énergie, eau, gestion des déchets et dépollution"
09.90Z,DE,"Industries extractives,  énergie, eau, gestion des déchets et dépollution"
10.11Z,C1,"Fabrication de denrées alimentaires, de boissons et  de produits à base de tabac"
10.12Z,C1,"Fabrication de denrées alimentaires, de boissons et  de produits à base de tabac"
10.13A,C1,"Fabrication de denrées alimentaires, de boissons et  de produits à base de tabac"
10.13B,C1,"Fabrication de denrées alimentaires, de boissons et  de produits à base de tabac"
10.20Z,C1,"Fabrication de denrées alimentaires, de boissons et  de produits à base de tabac"
10.31Z,C1,"Fabrication de denrées alimentaires, de boissons et  de produits à base de tabac"
10.32Z,C1,"Fabrication de denrées alimentaires, de boissons et  de produits à base de tabac"
10.39A,C1,"Fabrication de denrées alimentaires, de boissons et  de produits à base de tabac"
10.39B,C1,"Fabrication de denrées alimentaires, de boissons et  de produits à base de tabac"
10.41A,C1,"Fabrication de denrées alimentaires, de boissons et  de produits à base de tabac"
10.41B,C1,"Fabrication de denrées alimentaires, de boissons et  de produits à base de tabac"
10.42Z,C1,"Fabrication de denrées alimentaires, de boissons et  de produits à base de tabac"
10.51A,C1,"Fabrication de denrées alimentaires, de boissons et  de produits à base de tabac"
10.51B,C1,"Fabrication de denrées alimentaires, de boissons et  de produits à base de tabac"
10.51C,C1,"Fabrication de denrées alimentaires, de boissons et  de produits à base de tabac"
10.51D,C1,"Fabrication de denrées alimentaires, de boissons et  de produits à base de tabac"
10.52Z,C1,"Fabrication de denrées alimentaires, de boissons et  de produits à base de tabac"
10.61A,C1,"Fabrication de denrées alimentaires, de boissons et  de produits à base de tabac"
10.61B,C1,"Fabrication de denrées alimentaires, de boissons et  de produits à base de tabac"
10.62Z,C1,"Fabrication de denrées alimentaires, de boissons et  de produits à base de tabac"
10.71A,C1,"Fabrication de denrées alimentaires, de boissons et  de produits à base de tabac"
10.71B,C1,"Fabrication de denrées alimentaires, de boissons et  de produits à base de tabac"
10.71C,C1,"Fabrication de denrées alimentaires, de boissons et  de produits à base de tabac"
10.71D,C1,"Fabrication de denrées alimentaires, de boissons et  de produits à base de tabac"
10.72Z,C1,"Fabrication de denrées alimentaires, de boissons et  de produits à base de tabac"
10.73Z,C1,"Fabrication de denrées alimentaires, de boissons et  de produits à base de tabac"
10.81Z,C1,"Fabrication de denrées alimentaires, de boissons et  de produits à base de tabac"
10.82Z,C1,"Fabrication de denrées alimentaires, de boissons et  de produits à base de tabac"
10.83Z,C1,"Fabrication de denrées alimentaires, de boissons et  de produits à base de tabac"
10.84Z,C1,"Fabrication de denrées alimentaires, de boissons et  de produits à base de tabac"
10.85Z,C1,"Fabrication de denrées alimentaires, de boissons et  de produits à base de tabac"
10.86Z,C1,"Fabrication de denrées alimentaires, de boissons et  de produits à base de tabac"
10.89Z,C1,"Fabrication de denrées alimentaires, de boissons et  de produits à base de tabac"
10.91Z,C1,"Fabrication de denrées alimentaires, de boissons et  de produits à base de tabac"
10.92Z,C1,"Fabrication de denrées alimentaires, de boissons et  de produits à base de tabac"
11.01Z,C1,"Fabrication de denrées alimentaires, de boissons et  de produits à base de tabac"
11.02A,C1,"Fabrication de denrées alimentaires, de boissons et  de produits à base de tabac"
11.02B,C1,"Fabrication de denrées alimentaires, de boissons et  de produits à base de tabac"
11.03Z,C1,"Fabrication de denrées alimentaires, de boissons et  de produits à base de tabac"
11.04Z,C1,"Fabrication de denrées alimentaires, de boissons et  de produits à base de tabac"
11.05Z,C1,"Fabrication de denrées alimentaires, de boissons et  de produits à base de tabac"
11.06Z,C1,"Fabrication de denrées alimentaires, de boissons et  de produits à base de tabac"
11.07A,C1,"Fabrication de denrées alimentaires, de boissons et  de produits à base de tabac"
11.07B,C1,"Fabrication de denrées alimentaires, de boissons et  de produits à base de tabac"
12.00Z,C1,"Fabrication de denrées alimentaires, de boissons et  de produits à base de tabac"
13.10Z,C5,Fabrication d'autres produits industriels
13.20Z,C5,Fabrication d'autres produits industriels
13.30Z,C5,Fabrication d'autres produits industriels
13.91Z,C5,Fabrication d'autres produits industriels
13.92Z,C5,Fabrication d'autres produits industriels
13.93Z,C5,Fabrication d'autres produits industriels
13.94Z,C5,Fabrication d'autres produits industriels
13.95Z,C5,Fabrication d'autres produits industriels
13.96Z,C5,Fabrication d'autres produits industriels
13.99Z,C5,Fabrication d'autres produits industriels
14.11Z,C5,Fabrication d'autres produits industriels
14.12Z,C5,Fabrication d'autres produits industriels
14.13Z,C5,Fabrication d'autres produits industriels
14.14Z,C5,Fabrication d'autres produits industriels
14.19Z,C5,Fabrication d'autres produits industriels
14.20Z,C5,Fabrication d'autres produits industriels
14.31Z,C5,Fabrication d'autres produits industriels
14.39Z,C5,Fabrication d'autres produits industriels
15.11Z,C5,Fabrication d'autres produits industriels
15.12Z,C5,Fabrication d'autres produits industriels
15.20Z,C5,Fabrication d'autres produits industriels
16.10A,C5,Fabrication d'autres produits industriels
16.10B,C5,Fabrication d'autres produits industriels
16.21Z,C5,Fabrication d'autres produits industriels
16.22Z,C5,Fabrication d'autres produits industriels
16.23Z,C5,Fabrication d'autres produits industriels
16.24Z,C5,Fabrication d'autres produits industriels
16.29Z,C5,Fabrication d'autres produits industriels
17.11Z,C5,Fabrication d'autres produits industriels
17.12Z,C5,Fabrication d'autres produits industriels
17.21A,C5,Fabrication d'autres produits industriels
17.21B,C5,Fabrication d'autres produits industriels
17.21C,C5,Fabrication d'autres produits industriels
17.22Z,C5,Fabrication d'autres produits industriels
17.23Z,C5,Fabrication d'autres produits industriels
17.24Z,C5,Fabrication d'autres produits industriels
17.29Z,C5,Fabrication d'autres produits industriels
18.11Z,C5,Fabrication d'autres produits industriels
18.12Z,C5,Fabrication d'autres produits industriels
18.13Z,C5,Fabrication d'autres produits industriels
18.14Z,C5,Fabrication d'autres produits industriels
18.20Z,C5,Fabrication d'autres produits industriels
19.10Z,C2,Cokéfaction et raffinage
19.20Z,C2,Cokéfaction et raffinage
20.11Z,C5,Fabrication d'autres produits industriels
20.12Z,C5,Fabrication d'autres produits industriels
20.13A,C5,Fabrication d'autres produits industriels
20.13B,C5,Fabrication d'autres produits industriels
20.14Z,C5,Fabrication d'autres produits industriels
20.15Z,C5,Fabrication d'autres produits industriels
20.16Z,C5,Fabrication d'autres produits industriels
20.17Z,C5,Fabrication d'autres produits industriels
20.20Z,C5,Fabrication d'autres produits industriels
20.30Z,C5,Fabrication d'autres produits industriels
20.41Z,C5,Fabrication d'autres produits industriels
20.42Z,C5,Fabrication d'autres produits industriels
20.51Z,C5,Fabrication d'autres produits industriels
20.52Z,C5,Fabrication d'autres produits industriels
20.53Z,C5,Fabrication d'autres produits industriels
20.59Z,C5,Fabrication d'autres produits industriels
20.60Z,C5,Fabrication d'autres produits industriels
21.10Z,C5,Fabrication d'autres produits industriels
21.20Z,C5,Fabrication d'autres produits industriels
22.11Z,C5,Fabrication d'autres produits industriels
22.19Z,C5,Fabrication d'autres produits industriels
22.21Z,C5,Fabrication d'autres produits industriels
22.22Z,C5,Fabrication d'autres produits industriels
22.23Z,C5,Fabrication d'autres produits industriels
22.29A,C5,Fabrication d'autres produits industriels
22.29B,C5,Fabrication d'autres produits industriels
23.11Z,C5,Fabrication d'autres produits industriels
23.12Z,C5,Fabrication d'autres produits industriels
23.13Z,C5,Fabrication d'autres produits industriels
23.14Z,C5,Fabrication d'autres produits industriels
23.19Z,C5,Fabrication d'autres produits industriels
23.20Z,C5,Fabrication d'autres produits industriels
23.31Z,C5,Fabrication d'autres produits industriels
23.32Z,C5,Fabrication d'autres produits industriels
23.41Z,C5,Fabrication d'autres produits industriels
23.42Z,C5,Fabrication d'autres produits industriels
23.43Z,C5,Fabrication d'autres produits industriels
23.44Z,C5,Fabrication d'autres produits industriels
23.49Z,C5,Fabrication d'autres produits industriels
23.51Z,C5,Fabrication d'autres produits industriels
23.52Z,C5,Fabrication d'autres produits industriels
23.61Z,C5,Fabrication d'autres produits industriels
23.62Z,C5,Fabrication d'autres produits industriels
23.63Z,C5,Fabrication d'autres produits industriels
23.64Z,C5,Fabrication d'autres produits industriels
23.65Z,C5,Fabrication d'autres produits industriels
23.69Z,C5,Fabrication d'autres produits industriels
23.70Z,C5,Fabrication d'autres produits industriels
23.91Z,C5,Fabrication d'autres produits industriels
23.99Z,C5,Fabrication d'autres produits industriels
24.10Z,C5,Fabrication d'autres produits industriels
24.20Z,C5,Fabrication d'autres produits industriels
24.31Z,C5,Fabrication d'autres produits industriels
24.32Z,C5,Fabrication d'autres produits industriels
24.33Z,C5,Fabrication d'autres produits industriels
24.34Z,C5,Fabrication d'autres produits industriels
24.41Z,C5,Fabrication d'autres produits industriels
24.42Z,C5,Fabrication d'autres produits industriels
24.43Z,C5,Fabrication d'autres produits industriels
24.44Z,C5,Fabrication d'autres produits industriels
24.45Z,C5,Fabrication d'autres produits industriels
24.46Z,C5,Fabrication d'autres produits industriels
24.51Z,C5,Fabrication d'autres produits industriels
24.52Z,C5,Fabrication d'autres produits industriels
24.53Z,C5,Fabrication d'autres produits industriels
24.54Z,C5,Fabrication d'autres produits industriels
25.11Z,C5,Fabrication d'autres produits industriels
25.12Z,C5,Fabrication d'autres produits industriels
25.21Z,C5,Fabrication d'autres produits industriels
25.29Z,C5,Fabrication d'autres produits industriels
25.30Z,C5,Fabrication d'autres produits industriels
25.40Z,C5,Fabrication d'autres produits industriels
25.50A,C5,Fabrication d'autres produits industriels
25.50B,C5,Fabrication d'autres produits industriels
25.61Z,C5,Fabrication d'autres produits industriels
25.62A,C5,Fabrication d'autres produits industriels
25.62B,C5,Fabrication d'autres produits industriels
25.71Z,C5,Fabrication d'autres produits industriels
25.72Z,C5,Fabrication d'autres produits industriels
25.73A,C5,Fabrication d'autres produits industriels
25.73B,C5,Fabrication d'autres produits industriels
25.91Z,C5,Fabrication d'autres produits industriels
25.92Z,C5,Fabrication d'autres produits industriels
25.93Z,C5,Fabrication d'autres produits industriels
25.94Z,C5,Fabrication d'autres produits industriels
25.99A,C5,Fabrication d'autres produits industriels
25.99B,C5,Fabrication d'autres produits industriels
26.11Z,C3,"Fabrication d'équipements électriques, électroniques, informatiques ; fabrication de machines"
26.12Z,C3,"Fabrication d'équipements électriques, électroniques, informatiques ; fabrication de machines"
26.20Z,C3,"Fabrication d'équipements électriques, électroniques, informatiques ; fabrication de machines"
26.30Z,C3,"Fabrication d'équipements électriques, électroniques, informatiques ; fabrication de machines"
26.40Z,C3,"Fabrication d'équipements électriques, électroniques, informatiques ; fabrication de machines"
26.51A,C3,"Fabrication d'équipements électriques, électroniques, informatiques ; fabrication de machines"
26.51B,C3,"Fabrication d'équipements électriques, électroniques, informatiques ; fabrication de machines"
26.52Z,C3,"Fabrication d'équipements électriques, électroniques, informatiques ; fabrication de machines"
26.60Z,C3,"Fabrication d'équipements électriques, électroniques, informatiques ; fabrication de machines"
26.70Z,C3,"Fabrication d'équipements électriques, électroniques, informatiques ; fabrication de machines"
26.80Z,C3,"Fabrication d'équipements électriques, électroniques, informatiques ; fabrication de machines"
27.11Z,C3,"Fabrication d'équipements électriques, électroniques, informatiques ; fabrication de machines"
27.12Z,C3,"Fabrication d'équipements électriques, électroniques, informatiques ; fabrication de machines"
27.20Z,C3,"Fabrication d'équipements électriques, électroniques, informatiques ; fabrication de machines"
27.31Z,C3,"Fabrication d'équipements électriques, électroniques, informatiques ; fabrication de machines"
