id,lat,lon
22001,48.310936,-2.873362
22002,48.491121,-2.56663
22003,48.456376,-2.130368
22004,48.630366,-3.300372
22005,48.543691,-3.395715
22006,48.695306,-3.315931
22008,48.4157774,-2.0656853
22009,48.322057,-2.934428
22011,48.483042,-2.960119
22012,48.573554,-2.43709
22013,48.473951,-3.188285
22014,48.484792,-2.260681
22015,48.403204,-2.577869
22016,48.843542,-3.001236
22018,48.6619254,-3.2204833
22019,48.576613,-3.003348
22020,48.317699,-2.261427
22021,48.391033,-2.127327
22023,48.428529,-3.329523
22024,48.436362,-3.480321
22025,48.404695,-3.428861
22026,48.408351,-2.02991
22027,48.059146,-2.612542
22028,48.776669,-3.30549
22029,48.338556,-3.105658
22030,48.70437,-3.375297
22031,48.367298,-3.5198501
22032,48.288483,-2.156018
22033,48.216164,-3.044152
22034,48.672395,-3.347873
22035,48.417554,-1.969861
22036,48.266166,-2.14453
22037,48.461694,-3.420498
22039,48.1317958,-2.6575105
22040,48.517713,-3.187542
22041,48.674042,-3.250791
22042,48.768558,-3.343729
22043,48.141504,-2.541436
22044,48.491486,-2.601251
22045,48.462006,-2.950737
22046,48.295348,-2.521477
22047,48.317936,-3.058484
22048,48.481324,-2.167387
22049,48.54519,-2.21415
22050,48.454276,-2.047325
22052,48.362069,-3.437254
22053,48.274746,-2.347214
22054,48.628563,-2.465603
22055,48.626807,-2.8349
22056,48.381415,-1.981231
22057,48.6831709,-3.0753449
22059,48.428852,-2.914729
22060,48.300361,-2.754714
22061,48.223083,-3.394637
22062,48.177563,-2.481152
22063,48.641754,-3.050621
22064,48.22643,-3.178475
22065,48.604503,-3.015929
22067,48.55683,-3.184714
22068,48.2682991028,-2.84245991707
22069,48.31813,-2.076033
22070,48.561217,-3.148497
22071,48.297182,-2.09498
22072,48.515846,-3.299223
22073,48.33565,-2.9616519
22074,48.321652,-3.057435
22075,48.160514,-2.830927
22076,48.56147,-2.379401
22077,48.5666007,-2.46528005
22079,48.384829,-2.68251
22081,48.513542,-2.667343
22082,48.3943657,-2.0826754
22083,48.14617,-2.347703
22084,48.409074,-2.321827
22085,48.828745,-3.183804
22086,48.7374000549,-3.02855992317
22087,48.310371,-3.317817
22088,48.390131,-3.21128
22090,48.772258,-3.372331
22091,48.621979,-3.207278
22092,48.377384,-3.134802
22093,48.4688355,-2.5171821
22094,48.60489,-2.15089
22095,48.637699,-3.205548
22096,48.511184,-2.3326098
22097,48.435881,-2.179482
22098,48.4293904,-2.539354
22099,48.351577,-2.913945
22101,48.751207,-3.281831
22103,48.5533,-2.003272
22104,48.389198,-2.211433
22105,48.511463,-2.126942
22106,48.4950538,-2.716969
22107,48.241694,-3.123368
22108,48.695018,-3.045724
22109,48.71371,-2.964327
22110,48.742403,-3.350849
22111,48.842234,-3.106741
22112,48.6580579,-3.009109
22113,48.7318941,-3.4580368
22114,48.2511,-2.29524
22115,48.347279,-3.214959
22116,48.517218,-3.031264
22117,48.6064109802,-2.88235402107
22118,48.455782,-2.028106
22119,48.620181,-3.539554
22121,48.6318,-2.985875
22122,48.199728,-2.534339
22124,48.160114,-3.244093
22126,48.42957,-2.966136
22127,48.786534,-3.105703
22128,48.32057,-3.42269
22129,48.516405,-3.409401
22131,48.522055,-3.486987
22132,48.459794,-3.521496
22133,48.179774,-2.243298
22134,48.794454,-3.412685
22135,48.566267,-3.339881
22136,48.176551,-2.752375
22137,48.2835998535,-3.42333006859
22138,48.394085,-3.296875
22139,48.396848,-3.187151
22140,48.396369,-2.495363
22141,48.706988,-3.294999
22143,48.594274,-2.288077
22144,48.499607,-2.83962
22145,48.374304,-2.248812
22146,48.1745329,-3.296608
22147,48.191171,-2.410901
22148,48.256861,-2.396125
22149,48.280464,-2.840732
22150,48.575808,-3.067614
22152,48.775226,-3.228563
22153,48.361545,-2.63149
22155,48.236148,-2.733681
22156,48.517836,-3.240133
22157,48.267001,-3.507902
22158,48.2013829,-2.9874545
22160,48.4466018677,-2.4846599102
22161,48.5563149,-3.183804
22162,48.7800561,-3.0493744
22163,48.2360655,-3.4435272
22164,48.597423,-3.270976
22165,48.429401,-2.539041
22166,48.812197,-3.297116
22168,48.815456,-3.444943
22169,48.361507,-3.274567
22170,48.446241,-2.855128
22171,48.4077,-2.818037
22172,48.521701,-2.235419
22174,48.608778,-2.3373179
22175,48.448764,-2.388104
22176,48.445694,-2.746176
22177,48.636491,-2.940529
22178,48.696385,-3.008625
22179,48.628332,-2.365192
22180,48.4336,-2.218563
22181,48.207117,-3.210457
22182,48.5564002991,-2.94661808014
22183,48.176737,-2.593643
22184,48.335918,-2.683014
22185,48.3636335,-2.4000321
22186,48.58498,-2.540941
22187,48.534787,-2.770376
22188,48.515499115,-2.8840200901
22189,48.448127,-3.121939
22190,48.532394,-2.056641
22193,48.423203,-2.446539
22194,48.654037,-3.631617
22195,48.842155,-3.139434
22196,48.768878,-3.142024
22197,48.5108064,-1.9519677
22198,48.7739545,-3.5172091
22199,48.804057,-3.157838
22200,48.5297012329,-2.26933002472
22201,48.654921,-2.331712
22202,48.2267673,-3.5034901
22203,48.3462982178,-2.75687003136
22204,48.714493,-3.204417
22205,48.479701,-2.297836
22206,48.536534,-2.998639
22207,48.611355,-3.473584
22208,48.300669,-2.006227
22209,48.579255,-2.139473
22210,48.802044,-3.029673
22211,48.7041015625,-3.44841003418
22212,48.6746959,-3.191019
22213,48.527938,-2.003645
22214,48.749842,-2.984117
22215,48.4888296,-2.7941282
22216,48.48513,-3.377983
22217,48.4613869,-3.5217988
22218,48.842234,-3.228307
22219,48.280908,-2.703871
22220,48.2383551,-3.253836
22221,48.7939207,-3.2356668
22222,48.675701,-2.931989
22223,48.5769004822,-3.18583011627
22224,48.718484,-3.504179
22225,48.54487,-3.131749
22226,48.67908,-3.523225
22227,48.566327,-3.543087
22228,48.556058,-3.443525
22229,48.290417,-3.231309
22231,48.416112,-3.545873
22232,48.6307983398,-2.87034010887
22233,48.744419,-3.06967
22234,48.508608,-2.915299
22235,48.643752,-3.545107
22236,48.666845,-2.982321
22237,48.5318301,-2.2683587
22238,48.60685,-3.57608
22239,48.357662,-2.124637
22240,48.255863,-2.238723
22241,48.101608,-2.580733
22242,48.62645,-2.401432
22243,48.385467,-3.483366
22244,48.282452,-3.070064
22245,48.64186,-3.371318
22246,48.462438,-2.625727
22248,48.620506,-3.090823
22249,48.460335,-3.306968
22250,48.697691,-3.161521
22251,48.569901,-2.817522
22254,48.6772689,-3.2979798
22255,48.181704,-2.635023
22256,48.7034988403,-3.10611009598
22257,48.724038,-3.322866
22258,48.42115,-2.658312
22259,48.465097,-2.08587
22260,48.2408519,-2.881461
22261,48.5407337,-2.4356224
22262,48.4033157,-2.9127113
22263,48.351039,-2.006858
22264,48.7475101,-3.263299
22265,48.730916,-3.383248
22266,48.23616,-3.320585
22267,48.309193,-2.365587
22268,48.54542,-2.34426
22269,48.6939769,-3.2163369
22271,48.488934,-3.131204
22272,48.559567,-3.105294
22273,48.5296353,-2.8020444
22274,48.371975,-2.008349
22275,48.137297,-2.703166
22276,48.37827,-2.970873
22277,48.3897973,-2.8701154
22278,48.513873,-2.764382
22279,48.191515,-2.849886
22280,48.415465,-2.065254
22281,48.397448,-2.732924
22282,48.6273002625,-2.26365995407
22283,48.664331,-3.133077
22284,48.417715,-3.063084
22285,48.177784,-2.920544
22286,48.528829,-2.401439
22287,48.470211,-2.883629
22288,48.103124,-2.647184
22289,48.376548,-2.847416
22291,48.422565,-3.003914
22293,48.545084,-3.5739716
22294,48.380787,-3.094381
22295,48.2559356,-3.0057869
22296,48.359368,-2.523708
22299,48.471349,-1.959193
22300,48.276239,-2.827133
22302,48.5974703,-2.1899374
22304,48.565689,-3.022244
22305,48.266916,-2.16142
22306,48.363397,-1.953637
22307,48.45243,-2.81661
22308,48.35292,-2.044687
22309,48.234036,-2.37499
22310,48.62011,-3.234016
22311,48.547391,-2.230686
22312,48.330659,-2.07522
22313,48.306861,-2.954714
22314,48.112576,-2.775175
22315,48.4394989014,-2.18181991577
22316,48.255551,-3.005743
22317,48.457297,-2.25019
22318,48.465249,-2.214439
22319,48.68468,3.565089
22320,48.3869739,-3.3448692
22321,48.314519,-3.163685
22322,48.481235,-3.101725
22323,48.557548,-2.291966
22324,48.79202,-3.446576
