"mode","n","mean","median","zero_share","one_share","q05","q25","q75","q95"
"t",63600,0.196375786163522,0,0.605550314465409,0.0064622641509434,0,0,0.42,0.85
"b",63600,0.251866509433962,0,0.547845911949686,0.0194025157232704,0,0,0.56,0.95
"c",63600,0.858247327044025,1,0.0720283018867924,0.730691823899371,0,0.99,1,1
